,Unnamed: 0,Unnamed: 0.1,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,predicted_label,PVI
0,0,0,3,0,0,3,2,neutral,2.5622959239099776,2.4716107545847756,False,1,0.09068516932520199
1,1,1,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
2,2,2,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
3,3,3,3,0,2,1,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
4,4,4,6,0,6,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
5,5,5,3,1,2,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
6,6,6,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
7,7,7,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
8,8,8,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
9,9,9,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
10,10,10,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
11,11,11,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
12,12,12,3,0,2,1,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
13,13,13,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
14,14,14,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
15,15,15,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
16,16,16,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
17,17,17,3,1,2,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
18,18,18,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
19,19,19,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
20,20,20,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
21,21,21,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
22,22,22,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
23,23,23,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
24,24,24,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
25,25,25,3,0,2,1,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
26,26,26,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
27,27,27,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
28,28,28,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
29,29,29,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
30,30,30,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
31,31,31,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
32,32,32,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
33,33,33,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
34,34,34,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
35,35,35,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
36,36,36,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
37,37,37,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
38,38,38,3,0,2,1,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
39,39,39,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
40,40,40,3,0,1,2,2,neutral,2.5622959239099776,2.4716107545847756,False,1,0.09068516932520199
41,41,41,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
42,42,42,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
43,43,43,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
44,44,44,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
45,45,45,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
46,46,46,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
47,47,47,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
48,48,48,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
49,49,49,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
50,50,50,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
51,51,51,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
52,52,52,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
53,53,53,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
54,54,54,3,0,2,1,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
55,55,55,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
56,56,56,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
57,57,57,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
58,58,58,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
59,59,59,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
60,60,60,3,0,2,1,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
61,61,61,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
62,62,62,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
63,63,63,3,0,0,3,2,positive,2.5622959239099776,2.323663023738585,False,1,0.2386329001713925
64,64,64,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
65,65,65,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
66,66,66,3,0,1,2,2,positive,2.5622959239099776,2.323663023738585,False,1,0.2386329001713925
67,67,67,3,0,1,2,2,positive,2.5622959239099776,2.323663023738585,False,1,0.2386329001713925
68,68,68,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
69,69,69,3,1,2,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
70,70,70,3,0,0,3,2,positive,2.5622959239099776,2.323663023738585,False,1,0.2386329001713925
71,71,71,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
72,72,72,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
73,73,73,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
74,74,74,3,1,2,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
75,75,75,3,0,1,2,2,positive,2.5622959239099776,2.323663023738585,False,1,0.2386329001713925
76,76,76,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
77,77,77,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
78,78,78,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
79,79,79,3,1,2,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
80,80,80,9,0,7,2,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
81,81,81,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
82,82,82,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
83,83,83,3,1,2,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
84,84,84,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
85,85,85,3,2,1,0,0,neutral,4.197478211561481,4.353178521711373,False,1,-0.15570031014989283
86,86,87,3,0,3,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
87,87,88,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
88,88,89,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
89,89,90,3,3,0,0,0,neutral,4.197478211561481,4.353178521711373,False,1,-0.15570031014989283
90,90,91,3,1,2,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
91,91,92,6,1,5,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
92,92,93,3,1,2,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
93,93,94,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
94,94,95,3,1,2,0,1,positive,0.3655191666162353,0.39813390669190385,True,1,-0.03261474007566856
95,95,96,3,0,3,0,1,neutral,0.3655191666162353,0.3756057832828593,True,1,-0.010086616666624026
96,96,97,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
97,97,98,3,0,3,0,1,negative,0.3655191666162353,0.2923142793867921,True,1,0.07320488722944318
